Year,Semester,Course Code,Course Name
Freshman,Fall,160:159,General Chemistry for Engineers
Freshman,Fall,160:171,Intro to Experimentation
Freshman,Fall,355:101,Expository Writing
Freshman,Fall,440:101,Intro to Data-Driven Design
Freshman,Fall,640:151,Calculus I
Freshman,Fall,750:123,Analytical Physics IA
Freshman,Spring,160:160,General Chemistry for Engineers
Freshman,Spring,640:152,Calculus II
Freshman,Spring,750:124,Analytical Physics IB
Freshman,Spring,440:102,Data-Driven Design II
Freshman,Spring,440:221,Engineering Mechanics (Statics)
Freshman,Spring,Humanities Elective,Humanities/Social Science Elective
Sophomore,Fall,640:251,Multivariable Calculus
Sophomore,Fall,750:227,Analytical Physics IIA
Sophomore,Fall,750:229,Analytical Physics IIA Lab
Sophomore,Fall,540:201,Work Design & Ergonomics
Sophomore,Fall,540:202,Work Design Lab
Sophomore,Fall,540:213,Industrial Engineering Lab
Sophomore,Spring,640:244,Differential Equations
Sophomore,Spring,540:210,Engineering Probability
Sophomore,Spring,540:343,Engineering Economics
Sophomore,Spring,355:302,Scientific & Technical Writing
Sophomore,Spring,440:222,Engineering Mechanics (Dynamics)
Junior,Fall,540:320,Engineering Statistics
Junior,Fall,540:338,Probability Models in Operations Research
Junior,Fall,540:382,Automation
Junior,Fall,540:383,Automation Lab
Junior,Fall,540:311,Deterministic Models in OR
Junior,Fall,180:215,Engineering Graphics
Junior,Spring,540:303,Manufacturing Processes
Junior,Spring,540:304,Manufacturing Processes Lab
Junior,Spring,540:384,Simulation Models in Industrial Engineering
Junior,Spring,540:399,Design of Engineering Systems I
Senior,Fall,540:400,Design of Engineering Systems II
Senior,Fall,540:433,Quality Engineering
Senior,Fall,540:434,Quality Engineering Lab
Senior,Fall,540:453,Production Planning & Control
Senior,Fall,540:487,Energy Systems Modeling & Optimization
Senior,Spring,540:462,Facilities Layout & Material Handling
Senior,Spring,540:485,Industrial Information Systems
Senior,Spring,Capstone Design,Capstone Design Course
Senior,Spring,Technical Elective,Technical Elective
